Time; DeltaTCP
1470316210,2246899604797363;0,006147
1470316210,2646288871765137;0,039694
1470316210,2646319866180420;3e-06
1470316210,2859179973602295;0,021233
1470316210,3817648887634277;0,021748
1470316210,3817670345306396;2e-06
1470316210,3817679882049561;1e-06
1470316210,3817689418792725;1e-06
1470316210,3817729949951172;4e-06
1470316210,3924119472503662;0,010202
1470316210,4017369747161865;0,009325
1470316210,4110500812530518;0,004585
1470316210,4283690452575684;0,026632
1470316210,4283730983734131;4e-06
1470316210,4549889564514160;0,026554
1470316210,5148839950561523;0,059895
1470316210,5162138938903809;0,001299
1470316210,5162179470062256;4e-06
1470316210,5454990863800049;0,029255
1470316210,5787789821624756;0,010525
1470316210,5787808895111084;2e-06
1470316210,5907649993896484;0,008547
1470316210,5907659530639648;1e-06
1470316210,5907669067382812;1e-06
1470316210,5960850715637207;0,003055
1470316210,6360259056091309;0,045259
1470316210,6373519897460938;0,001283
1470316210,6373560428619385;4e-06
1470316210,6719679832458496;0,034585
1470316210,6719710826873779;3e-06
1470316210,7172400951385498;0,045226
1470316210,7172420024871826;2e-06
1470316210,7172439098358154;2e-06
1470316210,7172479629516602;4e-06
1470316210,7172510623931885;3e-06
1470316210,7172529697418213;2e-06
1470316210,7172551155090332;2e-06
1470316210,7172560691833496;1e-06
1470316210,7172589302062988;3e-06
1470316210,7172610759735107;2e-06
1470316210,7371909618377686;0,019747
1470316210,7904379367828369;0,013886
1470316210,7904410362243652;3e-06
1470316210,7904419898986816;1e-06
1470316210,7904429435729980;1e-06
1470316210,7944290637969971;0,003739
1470316210,8077409267425537;0,010691
1470316210,8263790607452393;0,03195
1470316210,8263819217681885;3e-06
1470316210,8543329238891602;0,027916
1470316210,8889439105987549;0,034611
1470316210,8929369449615479;0,003967
1470316210,8929400444030762;3e-06
1470316210,9448540210723877;0,051892
1470316210,9568369388580322;0,011983
1470316210,9568390846252441;2e-06
1470316210,9568409919738770;2e-06
1470316210,9874498844146729;0,004143
1470316210,9941089153289795;0,010504
1470316210,9941101074218750;0,006576
1470316210,9941101074218750;0
1470316211,0047550201416016;0,010645
1470316211,0420300960540771;0,009935
1470316211,0899569988250732;0,047927
1470316211,0899589061737061;2e-06
1470316211,0899610519409180;2e-06
1470316211,0899620056152344;1e-06
1470316211,0899639129638672;2e-06
1470316211,1392068862915039;0,049214
1470316211,1671669483184814;0,02796
1470316211,1671690940856934;2e-06
1470316211,1671710014343262;2e-06
1470316211,1671719551086426;1e-06
1470316211,1671741008758545;2e-06
1470316211,1684949398040771;0,001289
1470316211,1684980392456055;3e-06
1470316211,1684999465942383;2e-06
1470316211,1685020923614502;2e-06
1470316211,1937859058380127;0,000516
1470316211,1951229572296143;0,001337
1470316211,1951251029968262;2e-06
1470316211,1951260566711426;0,007225
1470316211,2031180858612061;0,007918
1470316211,2031209468841553;3e-06
1470316211,2031219005584717;1e-06
1470316211,2071039676666260;0,00379
1470316211,2284009456634521;0,021297
1470316211,2430529594421387;0,003452
1470316211,2683339118957520;0,025281
1470316211,2922959327697754;0,023962
1470316211,2936239242553711;0,001291
1470316211,2936260700225830;2e-06
1470316211,3295679092407227;0,035918
1470316211,3295700550079346;2e-06
1470316211,3521990776062012;0,022602
1470316211,3788180351257324;0,003624
1470316211,4107720851898193;0,004407
1470316211,4107739925384521;2e-06
1470316211,4107758998870850;2e-06
1470316211,4107780456542969;2e-06
1470316211,4107789993286133;1e-06
1470316211,4107799530029297;1e-06
1470316211,4147601127624512;0,003542
1470316211,4307360649108887;0,015976
1470316211,4307401180267334;4e-06
1470316211,4493710994720459;0,003247
1470316211,4720029830932617;0,022632
1470316211,4720048904418945;2e-06
1470316211,4919691085815430;0,019938
1470316211,4933021068572998;0,001333
1470316211,4933040142059326;2e-06
1470316211,5172629356384277;0,023935
1470316211,5172650814056396;2e-06
1470316211,5665159225463867;0,049225
1470316211,5665180683135986;0,004826
1470316211,6064538955688477;0,039938
1470316211,6064569950103760;3e-06
1470316211,6064589023590088;2e-06
1470316211,6224269866943359;0,006528
1470316211,6224279403686523;1e-06
1470316211,6224300861358643;2e-06
1470316211,6237630844116211;0,001176
1470316211,6237649917602539;2e-06
1470316211,6237668991088867;2e-06
1470316211,6237690448760986;2e-06
1470316211,6237709522247314;2e-06
1470316211,6237719058990479;1e-06
1470316211,6237759590148926;4e-06
1470316211,6237781047821045;2e-06
1470316211,6290829181671143;0,005195
1470316211,6290850639343262;2e-06
1470316211,6610319614410400;0,031947
1470316211,6610350608825684;3e-06
1470316211,6610369682312012;2e-06
1470316211,6929779052734375;0,031914
1470316211,7342460155487061;0,041268
1470316211,7355780601501465;0,001304
1470316211,7355799674987793;2e-06
1470316211,8034770488739014;0,011211
1470316211,8034799098968506;1,44155
1470316211,8034820556640625;0,020077
1470316211,8061320781707764;0,002655
1470316211,8181190490722656;0,011953
1470316211,8181231021881104;4e-06
1470316211,8300940990447998;0,005724
1470316211,8607170581817627;0,030589
1470316211,8886740207672119;0,027894
1470316211,9325969219207764;0,043923
1470316211,9326000213623047;3e-06
1470316211,9326040744781494;4e-06
1470316211,9339220523834229;0,001274
1470316211,9578909873962402;0,023969
1470316211,9578928947448730;2e-06
1470316211,9898309707641602;0,003246
1470316212,0071349143981934;0,003836
1470316212,0137910842895508;0,006656
1470316212,0164539813995361;0,002588
1470316212,0377550125122070;0,004478
1470316212,0390899181365967;0,001335
1470316212,0390911102294922;1e-06
1470316212,0390930175781250;2e-06
1470316212,0390949249267578;2e-06
1470316212,0390970706939697;2e-06
1470316212,0390980243682861;1e-06
1470316212,0736989974975586;0,034571
1470316212,0737020969390869;3e-06
1470316212,0976610183715820;0,023931
1470316212,0976629257202148;2e-06
1470316212,0976660251617432;3e-06
1470316212,0976679325103760;2e-06
1470316212,0989930629730225;0,001295
1470316212,0989949703216553;2e-06
1470316212,0989990234375000;4e-06
1470316212,0990009307861328;2e-06
1470316212,0990018844604492;1e-06
1470316212,0990040302276611;2e-06
1470316212,1362650394439697;0,037235
1470316212,1362679004669189;3e-06
1470316212,1362690925598145;1e-06
1470316212,1788609027862549;0,042565
1470316212,1788649559020996;4e-06
1470316212,1788671016693115;0,004801
1470316212,1948330402374268;0,015929
1470316212,2161331176757812;0,003697
1470316212,2161350250244141;2e-06
1470316212,2187941074371338;0,002581
1470316212,2214550971984863;0,002661
1470316212,2227859497070312;0,001331
1470316212,2707149982452393;0,008472
1470316212,2707180976867676;3e-06
1470316212,2707190513610840;1e-06
1470316212,2707209587097168;2e-06
1470316212,2707219123840332;1e-06
1470316212,2707231044769287;1e-06
1470316212,3039948940277100;0,03324
1470316212,3039970397949219;2e-06
1470316212,3039999008178711;3e-06
1470316212,3319470882415771;0,027918
1470316212,3665580749511719;0,005949
1470316212,3665590286254883;0,034612
1470316212,3665609359741211;2e-06
1470316212,4064979553222656;0,039902
1470316212,4065020084381104;4e-06
1470316212,4198141098022461;0,000199
1470316212,4264690876007080;0,004425
1470316212,4264719486236572;3e-06
1470316212,4264729022979736;1e-06
1470316212,4264740943908691;1e-06
1470316212,4757149219512939;0,005668
1470316212,4757170677185059;2e-06
1470316212,5196518898010254;0,043935
1470316212,5196549892425537;3e-06
1470316212,5196590423583984;4e-06
1470316212,5302989482879639;0,010591
1470316212,5303020477294922;3e-06
1470316212,5515909194946289;0,021247
1470316212,5529251098632812;0,001334
1470316212,5529279708862305;3e-06
1470316212,5529301166534424;2e-06
1470316212,5529310703277588;1e-06
1470316212,5529329776763916;2e-06
1470316212,5542569160461426;0,0013
1470316212,5555849075317383;0,001328
1470316212,5555880069732666;3e-06
1470316212,5688979625701904;0,004747
1470316212,5955231189727783;0,039908
1470316212,5955250263214111;2e-06
1470316212,6234738826751709;0,027915
1470316212,6381208896636963;0,007548
1470316212,6381220817565918;1e-06
1470316212,6394488811492920;0,001221
1470316212,6407809257507324;0,001332
1470316212,6554229259490967;0,014642
1470316212,6900351047515869;0,008311
1470316212,6940269470214844;0,003992
1470316212,6940290927886963;2e-06
1470316212,7206521034240723;0,026599
1470316212,7632520198822021;0,0426
1470316212,7632539272308350;2e-06
1470316212,7632560729980469;2e-06
1470316212,7752289772033691;0,006432
1470316212,7925341129302979;0,029251
1470316212,8338010311126709;0,041267
1470316212,8338029384613037;2e-06
1470316212,8431200981140137;0,003704
1470316212,8457798957824707;0,00266
1470316212,8644189834594727;0,018639
1470316212,9429650306701660;0,078546
1470316212,9429669380187988;2e-06
1470316212,9429709911346436;4e-06
1470316212,9562718868255615;0,013264
1470316212,9802320003509521;0,007327
1470316213,0188410282135010;0,062569
1470316213,0188438892364502;3e-06
1470316213,0188450813293457;1e-06
1470316213,0188469886779785;2e-06
1470316213,0188479423522949;1e-06
1470316213,0201721191406250;0,00129
1470316213,0201740264892578;2e-06
1470316213,0201759338378906;2e-06
1470316213,0201780796051025;2e-06
1470316213,0601038932800293;0,039897
1470316213,0601069927215576;3e-06
1470316213,0867369174957275;0,026603
1470316213,1492960453033447;0,062559
1470316213,1492989063262939;3e-06
1470316213,1493010520935059;2e-06
1470316213,1639349460601807;0,003493
1470316213,1945590972900391;0,045222
1470316213,2611110210418701;0,066552
1470316213,2624449729919434;0,001299
1470316213,2624480724334717;3e-06
1470316213,2837419509887695;0,021268
1470316213,3183538913726807;0,034612
1470316213,3183560371398926;2e-06
1470316213,3369889259338379;0,006656
1470316213,3503000736236572;0,031919
1470316213,4142000675201416;0,0639
1470316213,4195230007171631;0,005296
1470316213,4195270538330078;4e-06
1470316213,4474749565124512;0,027923
1470316213,4781088829040527;0,030634
1470316213,4781110286712646;2e-06
1470316213,4781119823455811;1e-06
1470316213,4794299602508545;0,00127
1470316213,4794321060180664;2e-06
1470316213,4794340133666992;2e-06
1470316213,4794380664825439;4e-06
1470316213,4794399738311768;2e-06
1470316213,4794418811798096;2e-06
1470316213,5153739452362061;0,035899
1470316213,5153779983520508;4e-06
1470316213,5366671085357666;0,002715
1470316213,5433230400085449;0,027902
1470316213,5646209716796875;0,004717
1470316213,5992369651794434;0,034591
1470316213,5992400646209717;3e-06
1470316213,6245260238647461;0,02525
1470316213,6924180984497070;0,067892
1470316213,6924190521240234;1e-06
1470316213,7137150764465332;0,021268
1470316213,7270250320434570;0,006056
1470316213,7669610977172852;0,00195
1470316213,8082299232482910;0,041269
1470316213,8082330226898193;3e-06
1470316213,8108890056610107;0,002631
1470316213,8521609306335449;0,041272
1470316213,8521640300750732;3e-06
1470316213,8521680831909180;4e-06
1470316213,8801100254058838;0,02791
1470316213,9240419864654541;0,015577
1470316213,9440090656280518;0,063899
1470316213,9466760158538818;0,002644
1470316213,9466779232025146;2e-06
1470316213,9466819763183594;4e-06
1470316213,9466838836669922;2e-06
1470316213,9466850757598877;1e-06
1470316213,9466869831085205;2e-06
1470316213,9480040073394775;0,001285
